Annotee-Identifier	Human-Readable-Description
OG0008914	eukaryotic translation initiation factor subunit h
OG0010644	major facilitator superfamily domain containing protein
OG0014714	zinc finger and scan protein
OG0002159	coiled coil domain containing protein
OG0011827	peptidyl prolyl cis trans isomerase fkbp
OG0012673	f box spry domain containing protein
OG0003319	protein s isoprenylcysteine o methyltransferase
OG0004165	microcephalin
OG0000910	ephrin
OG0014342	k member gag polyprotein
OG0005194	multicilin
OG0005418	tmf regulated nuclear protein
OG0010601	very low density lipoprotein receptor
OG0005085	persulfide dioxygenase ethe mitochondrial
OG0010714	synaptotagmin protein
OG0010739	carrier protein] octanoyltransferase
OG0003123	nadh dehydrogenase [ubiquinone] beta subcomplex subunit 5 mitochondrial
OG0002613	protocadherin fat
OG0010312	ef hand calcium binding domain containing protein
OG0013130	alpha adrenergic receptor
OG0000598	receptor tyrosine protein kinase erbb
OG0000125	dynein axonemal heavy chain
OG0003238	neuronal regeneration protein
OG0001754	e3 ubiquitin protein ligase trim
OG0011465	receptor activity modifying protein
OG0004626	sentrin specific protease
OG0011044	translocon associated protein subunit gamma
OG0011898	ventral anterior homeobox
OG0008777	filamin a interacting protein
OG0013012	tenascin r
OG0002449	cytochrome b c1 complex subunit 7 1
OG0004747	e3 ubiquitin protein ligase nedd
OG0008832	autophagy protein
OG0008546	trimeric intracellular cation channel type 1
OG0013771	large ribosomal subunit protein el
OG0003481	bublin coiled coil protein
OG0004263	heat shock kda protein
OG0000692	structural maintenance of chromosomes protein
OG0009429	coiled coil domain containing glutamate rich protein
OG0013207	coiled coil domain containing protein
OG0000347	cytochrome p450 2f2
OG0011222	mitochondrial import receptor subunit tom
OG0013479	taste receptor type member
OG0000820	unknown sequence family
OG0008894	mitochondrial import receptor subunit tom
OG0007630	glutamate receptor ionotropic nmda
OG0004712	ly plaur domain containing protein
OG0011925	pre rrna processing protein tsr
OG0006399	palmitoyltransferase zdhhc
OG0004741	rab binding protein relch
OG0003735	general transcription factor iif subunit
OG0007899	rilp protein
OG0008544	structural maintenance of chromosomes protein
OG0011833	ankyrin repeat and socs box protein
OG0003725	e3 ubiquitin ligase rnf
OG0005392	bsd domain containing protein 1
OG0012381	ankyrin repeat and death domain containing protein
OG0012828	unknown sequence family
OG0010252	tektin protein
OG0006052	trna pseudouridine 38 39 synthase
OG0000369	cytochrome p450 2d6
OG0006676	aspartate beta hydroxylase domain containing protein
OG0013378	transmembrane l6 family member
OG0002189	transportin
